ParentPageID,Product Name,Filter,Brand,Image,Features
280,BFTMaxima,Road Barriers,BFT,1-Maxima.png,"Range of professional 230 Vac electromechanical barriers for busy use.
Mechanical movement with crank to make the bar operate smoothly, also managing slowdowns in opening and closing.
Applications – Large parking lots, tollgates, sensitive sites for fast opening.
"
280,BFT Maxima Ultra,Road Barriers,BFT,2-Maxima-Ultra.png,"Range of professional 230 Vac electromechanical barriers with speed variator.
Three-phase induction motor for high frequency of use.
Equipped with U-Link protocol, they allow integration in Parking Management or Building Management systems.
Applications – large car parks, tollgates, industrial installations.
"
280,NICE Parking Barriers and Access Controls ,Parking Barriers,NICE,3-Parking-Barriers-&-Access-Controls.jpg,"Parking Barriers & Access Controls from – Italy
Applications - car parks, shopping centers, hotels, airports
"
280,NICE Sliding-Gate-Openers,Gate Barriers,NICE,4-Sliding-Gate-Openers.jpg,"With an automated sliding gate ease of opening without getting out of the car.
Applications – Villa gates, Building Gates.
"
280,Automated-Garage-Door,Garage,NICE,5-Automated-Garage-Door.png,"An automated garage door is the response to your need for practicality and convenience. Forget the bother and effort of having to lift heavy doors: with Nice, you can open and close your garage door hassle-free."
280,NICE Control System,Control,NICE,"6-Control-System.jpg
6-Control-System-1.jpg","Nice control systems let you control and manage all your home automation and lighting simply and safely. Practical and functional solutions, with an exciting design: enjoy your living space even more, by simplifying your everyday movements!"
281,8 MP Network Bullet Camera,CCTV,HIKVISION,1-8-MP-Network-Bullet-Camera.jpg,"DS-2CD2085FWD-I
Up to 8 megapixel high resolution
Max. 3840 × 2160@20fps
2.8 mm/4 mm/6 mm/8 mm/12 mm fixed lens, optional
120dB Wide Dynamic Range
3D Digital Noise Reduction
"
281,8 MP Network Dome Camera,CCTV,HIKVISION,2-8-MP-Network-Dome-Camera.jpg,"DS-2CD2185FWD-I(S)
Up to 8 megapixel high resolution
Max. 3840 × 2160@20fps
2.8 mm/4 mm/6 mm/8 mm/12 mm fixed lens, optional
120dB Wide Dynamic Range
3D Digital Noise Reduction
"
281,8 MP Network Turret Camera,CCTV,HIKVISION,3-8-MP-Network-Turret-Camera.jpg,"DS-2CD2385FWD-I
Up to 8 megapixel high resolution
Max. 3840 × 2160@20fps
2.8 mm/4 mm/6 mm/8 mm/12 mm fixed lens, optional
120dB Wide Dynamic Range
3D Digital Noise Reduction
"
281,8 MP Network Bullet Camera,CCTV,HIKVISION,4-8-MP-Network-Bullet-Camera.jpg,"DS-2CD2T85FWD-I5/I8
Up to 8 megapixel high resolution
Max. 3840 × 2160@20fps
2.8 mm/4 mm/6 mm/8 mm/12 mm fixed lens, optional
H.265, H.265+, H.264+, H.264
120dB Wide Dynamic Range
3D Digital Noise Reduction
"
281,8 MP WDR Vari-focal Network Turret Camera,CCTV,HIKVISION,5-8-MP-WDR-Vari-focal-Network-Turret-Camera.png,"DS-2CD2H85FWD-IZS
1/2.5"" Progressive Scan CMOS
3840 × 2160 resolution
2.8 to 12 mm focal length
H.265, H.265+, H.264+, H.264
120dB Wide Dynamic Range
"
281,8 MP WDR Vari-focal Network Dome Camera,CCTV,HIKVISION,6-8-MP-WDR-Vari-focal-Network-Dome-Camera.png,"DS-2CD2785FWD-IZS
1/2.5"" Progressive Scan CMOS
3840 × 2160 resolution
2.8 to 12 mm focal length
H.265, H.265+, H.264+, H.264
120dB Wide Dynamic Range
"
281,8 MP WDR Vari-focal Network Bullet Camera,CCTV,HIKVISION,7-8-MP-WDR-Vari-focal-Network-Bullet-Camera.png,"DS-2CD2685FWD-IZS
1/2.5"" Progressive Scan CMOS
3840 × 2160 resolution
2.8 to 12 mm focal length
H.265, H.265+, H.264+, H.264
120dB Wide Dynamic Range
"
281,720 TVL PICADIS Indoor IR Dome Camera,CCTV,HIKVISION,8-720-TVL-PICADIS-Indoor-IR-Dome-Camera.jpg,"DS-2CE55C2P(N)-IRP
1/3"" PICADIS
1.3MP Sensor: 1280 (H) x 960 (V) Effective Pixels
720 TVL Horizontal Resolution
True Day/Night
2.8/3.6/6mm Fixed Lens, 0.1 lux /F1.2
20m IR Distance, Smart IR, high dynamic range
"
281,720 TVL PICADIS Indoor Dome Camera,CCTV,HIKVISION,9-720-TVL-PICADIS-Indoor-Dome-Camera.jpg,"DS-2CE55C2P(N)
1/3"" PICADIS
1.3MP Sensor: 1280 (H) x 960 (V) Effective Pixels
720 TVL Horizontal Resolution
Electronic Day/Night
2.8/3.6/6mm Fixed Lens, 0.1 lux /F1.2
High dynamic range, Superior video image output and ultra lowlight illumination
Wide operating temperature range
"
281,700TVL DIS IR Dome Camera,CCTV,HIKVISION,10-700-TVL-DIS-IR-Dome-Camera.jpg,"DS-2CE55A2P(N)-VFIR
1/3” DIS
700 TVL horizontal resolution
2.8 – 12mm vari-focal lens
True Day/Night, Up to 30m IR distance, Smart IR mode
Wide operating temperature range
"
281,8MP 36× Network IR Speed Dome,CCTV,HIKVISION,11-8-MP-36×-Network-IR-Speed-Dome.jpg,"DS-2DF8836IX-AEL(W)
2/3” HD CMOS sensor
Up to 3840 × 2160 resolution, 36X Optical Zoom.
Smart Tracking, Smart Detection, 200m IR distance
"
